,MAE,RMSE,R2,NASA_score,n
Constant (mean),54.68512147423855,64.94064284830394,-0.0020046311360069,16943774.592924923,4010.0
Linear Regression,22.737319941044472,30.048675317984436,0.6509304655781027,86099.3375274808,2000.0
Decision Tree,23.79640808671741,33.71369056432983,0.561354035241599,471046.3677538025,2000.0
Random Forest,21.29121404684593,29.998164653740837,0.6528599335382624,80320.53190730626,2000.0
XGBoost,20.590610202908515,29.194945418313004,0.6712399334733623,70581.27970526082,2000.0
LightGBM,20.068189049415857,28.821676200780313,0.6796135306051432,61099.48253338926,2000.0
