bucket,n,MAE,RMSE,NASA_score
RUL <= 20,16,3.1510562909403776,6.1560746465023035,11.659725406401838
20 < RUL <= 50,17,11.354710894175009,17.8585494858221,465.4899642008992
50 < RUL <= 100,34,16.6080253238247,19.90056795952805,226.47377015070327
RUL > 100,33,15.210748577260887,19.519351929163932,179.10124515480905
